LAD,WITA
E06000005,5
E06000001,1
E06000002,2
E06000003,3
E06000004,4
E06000047,47
E06000057,48
E08000037,277
E08000021,278
E08000022,279
E08000023,280
E08000024,281
E06000008,8
E06000009,9
E06000006,6
E06000007,7
E06000050,50
E06000049,49
E07000026,66
E07000027,67
E07000028,68
E07000029,69
E07000030,70
E07000031,71
E08000001,258
E08000002,259
E08000003,260
E08000004,261
E08000005,262
E08000006,263
E08000007,264
E08000008,265
E08000009,266
E08000010,267
E07000117,148
E07000118,149
E07000119,150
E07000120,151
E07000121,152
E07000122,153
E07000123,154
E07000124,155
E07000125,156
E07000126,157
E07000127,158
E07000128,159
E08000011,268
E08000012,269
E08000013,270
E08000014,271
E08000015,272
E06000011,11
E06000010,10
E06000012,12
E06000013,13
E06000014,14
E07000163,188
E07000164,189
E07000165,190
E07000166,191
E07000167,192
E07000168,193
E07000169,194
E08000016,273
E08000017,274
E08000018,275
E08000019,276
E08000032,289
E08000033,290
E08000034,291
E08000035,292
E08000036,293
E06000015,15
E06000016,16
E06000018,18
E06000017,17
E07000032,72
E07000033,73
E07000034,74
E07000035,75
E07000036,76
E07000037,77
E07000038,78
E07000039,79
E07000129,160
E07000130,161
E07000131,162
E07000132,163
E07000133,164
E07000134,165
E07000135,166
E07000136,167
E07000137,168
E07000138,169
E07000139,170
E07000140,171
E07000141,172
E07000142,173
E07000150,181
E07000151,182
E07000152,183
E07000153,184
E07000154,185
E07000155,186
E07000156,187
E07000170,195
E07000171,196
E07000172,197
E07000173,198
E07000174,199
E07000175,200
E07000176,201
E06000019,19
E06000021,21
E06000020,20
E06000051,51
E07000192,212
E07000193,213
E07000194,214
E07000195,215
E07000196,216
E07000197,217
E07000198,218
E07000199,219
E07000218,238
E07000219,239
E07000220,240
E07000221,241
E07000222,242
E08000025,282
E08000026,283
E08000027,284
E08000028,285
E08000029,286
E08000030,287
E08000031,288
E07000234,250
E07000235,251
E07000236,252
E07000237,253
E07000238,254
E07000239,255
E06000032,32
E06000031,31
E06000033,33
E06000034,34
E06000055,55
E06000056,56
E07000008,61
E07000009,62
E07000010,63
E07000011,64
E07000012,65
E07000066,99
E07000067,100
E07000068,101
E07000069,102
E07000070,103
E07000071,104
E07000072,105
E07000073,106
E07000074,107
E07000075,108
E07000076,109
E07000077,110
E07000095,128
E07000096,129
E07000242,130
E07000098,131
E07000099,132
E07000240,256
E07000243,133
E07000102,134
E07000103,135
E07000241,257
E07000143,174
E07000144,175
E07000145,176
E07000146,177
E07000147,178
E07000148,179
E07000149,180
E07000200,220
E07000201,221
E07000202,222
E07000203,223
E07000204,224
E07000205,225
E07000206,226
E09000007,300
E09000001,294
E09000012,305
E09000013,306
E09000014,307
E09000019,312
E09000020,313
E09000022,315
E09000023,316
E09000025,318
E09000028,321
E09000030,323
E09000032,325
E09000033,326
E09000002,295
E09000003,296
E09000004,297
E09000005,298
E09000006,299
E09000008,301
E09000009,302
E09000010,303
E09000011,304
E09000015,308
E09000016,309
E09000017,310
E09000018,311
E09000021,314
E09000024,317
E09000026,319
E09000027,320
E09000029,322
E09000031,324
E06000036,36
E06000043,43
E06000046,46
E06000035,35
E06000042,42
E06000044,44
E06000038,38
E06000039,39
E06000045,45
E06000037,37
E06000040,40
E06000041,41
E07000004,57
E07000005,58
E07000006,59
E07000007,60
E07000061,94
E07000062,95
E07000063,96
E07000064,97
E07000065,98
E07000084,117
E07000085,118
E07000086,119
E07000087,120
E07000088,121
E07000089,122
E07000090,123
E07000091,124
E07000092,125
E07000093,126
E07000094,127
E07000105,136
E07000106,137
E07000107,138
E07000108,139
E07000109,140
E07000110,141
E07000111,142
E07000112,143
E07000113,144
E07000114,145
E07000115,146
E07000116,147
E07000177,202
E07000178,203
E07000179,204
E07000180,205
E07000181,206
E07000207,227
E07000208,228
E07000209,229
E07000210,230
E07000211,231
E07000212,232
E07000213,233
E07000214,234
E07000215,235
E07000216,236
E07000217,237
E07000223,243
E07000224,244
E07000225,245
E07000226,246
E07000227,247
E07000228,248
E07000229,249
E06000022,22
E06000028,28
E06000023,23
E06000024,24
E06000026,26
E06000029,29
E06000025,25
E06000030,30
E06000027,27
E06000052,52
E06000053,53
E06000054,54
E07000040,80
E07000041,81
E07000042,82
E07000043,83
E07000044,84
E07000045,85
E07000046,86
E07000047,87
E07000048,88
E07000049,89
E07000050,90
E07000051,91
E07000052,92
E07000053,93
E07000078,111
E07000079,112
E07000080,113
E07000081,114
E07000082,115
E07000083,116
E07000187,207
E07000188,208
E07000189,209
E07000190,210
E07000191,211
W06000001,359
W06000019,375
W06000013,370
W06000018,374
W06000015,372
W06000010,367
W06000008,365
W06000003,361
W06000004,362
W06000005,363
W06000002,360
W06000024,380
W06000021,377
W06000012,369
W06000022,378
W06000009,366
W06000023,379
W06000016,373
W06000011,368
W06000020,376
W06000014,371
W06000006,364
S12000033,347
S12000034,348
S12000041,354
S12000035,349
S12000005,327
S12000006,328
S12000042,355
S12000008,329
S12000045,357
S12000010,330
S12000011,331
S12000036,350
S12000013,332
S12000014,333
S12000015,334
S12000046,358
S12000017,335
S12000018,336
S12000019,337
S12000020,338
S12000021,339
S12000044,356
S12000023,340
S12000024,341
S12000038,351
S12000026,342
S12000027,343
S12000028,344
S12000029,345
S12000030,346
S12000039,352
S12000040,353
